                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.39256,                0.52709,                0.99271,                0.91954,                0.99382,                  0.995,                0.95721,                0.34005,                0.48563,                0.87167,             0.00093385,             0.00093385,             0.00093385
                     37,                0.36698,                0.48546,                 0.9872,                0.95463,                      1,                  0.995,                0.97794,                0.29467,                0.40959,                0.83046,              0.0009197,              0.0009197,              0.0009197
                     38,                0.35501,                0.48932,                0.97126,                 0.8879,                0.99544,                0.98389,                0.94701,                0.31721,                0.50151,                0.86668,             0.00090556,             0.00090556,             0.00090556
                     39,                0.38355,                0.47027,                0.98465,                0.95096,                0.99081,                  0.995,                0.96061,                0.30439,                  0.395,                 0.8343,             0.00089141,             0.00089141,             0.00089141
                     40,                0.36431,                 0.4723,                0.97829,                0.92339,                0.92605,                0.94315,                0.88957,                0.38496,                0.58204,                0.92038,             0.00087726,             0.00087726,             0.00087726
                     41,                0.39356,                0.51466,                0.98908,                0.95793,                0.85131,                0.96484,                0.91518,                0.34874,                0.58306,                0.86882,             0.00086312,             0.00086312,             0.00086312
                     42,                0.38406,                0.48797,                0.98789,                0.96249,                0.98523,                  0.995,                0.93508,                0.29901,                0.42569,                0.85054,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.3656,                0.44087,                0.97279,                0.96642,                 0.9355,                  0.995,                0.94738,                0.32928,                0.42813,                0.86475,             0.00083482,             0.00083482,             0.00083482
                     44,                0.37726,                 0.4407,                0.98345,                0.91387,                0.97214,                0.98389,                0.95913,                 0.3041,                0.45919,                0.84104,             0.00082067,             0.00082067,             0.00082067
                     45,                0.36108,                0.43979,                0.96862,                0.91082,                0.93333,                0.95611,                0.87293,                0.40968,                0.63397,                 1.0367,             0.00080653,             0.00080653,             0.00080653
                     46,                0.36375,                0.45473,                0.98294,                0.92553,                0.98503,                  0.995,                0.92272,                0.34931,                0.47997,                0.89025,             0.00079238,             0.00079238,             0.00079238
                     47,                0.36127,                0.43892,                0.97687,                 0.9755,                0.98913,                  0.995,                0.91661,                0.37195,                0.43596,                0.97424,             0.00077823,             0.00077823,             0.00077823
                     48,                 0.3377,                0.43968,                0.95971,                0.96798,                      1,                  0.995,                0.94034,                0.33786,                0.36757,                0.87719,             0.00076409,             0.00076409,             0.00076409
                     49,                0.34796,                0.44421,                0.98223,                0.96578,                      1,                  0.995,                0.95329,                0.32566,                0.29299,                0.85446,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.3506,                 0.4559,                0.97139,                0.97673,                      1,                  0.995,                0.98204,                0.27355,                0.28643,                0.78519,             0.00073579,             0.00073579,             0.00073579
                     51,                0.34192,                0.42345,                0.96405,                0.97429,                      1,                  0.995,                0.95608,                 0.3027,                0.38184,                0.81318,             0.00072164,             0.00072164,             0.00072164
                     52,                0.35336,                0.42418,                0.96127,                0.97909,                0.93333,                0.97595,                0.94632,                0.26962,                 0.4062,                0.77911,              0.0007075,              0.0007075,              0.0007075
                     53,                0.33494,                0.40478,                0.95814,                0.98456,                0.94615,                  0.995,                0.95878,                0.28076,                0.36517,                0.83315,             0.00069335,             0.00069335,             0.00069335
                     54,                0.31738,                0.38142,                0.95336,                0.97421,                0.99561,                  0.995,                0.96045,                0.30743,                0.33316,                 0.8267,              0.0006792,              0.0006792,              0.0006792
                     55,                0.34974,                0.40548,                0.96899,                0.95925,                0.88189,                0.98389,                 0.9196,                0.34639,                0.46619,                0.93646,             0.00066506,             0.00066506,             0.00066506
                     56,                0.32338,                0.37619,                0.95164,                0.97808,                      1,                  0.995,                0.93855,                0.31443,                0.50479,                0.89008,             0.00065091,             0.00065091,             0.00065091
